"","Year","Country","All Industries","Mining","Utilities","Total Manufacturing","Food Manufacturing","Chemicals Manufacturing","Primary and Fabricated Metals Manufacturing","Machinery Manufacturing","Computers and Electronic Products Manufacturing","Electrical Equipment, Appliances, and Components Manufacturing","Transportation Equipment Manufacturing","Wholesale Trade","Information","Finance (except depository institutions) and Insurance","Professional, Scientific, and Technical Services","Other Industries"
"558",2006,"Sweden",1740,0,0,599,45,61,127,77,111,-10,-131,1312,-10,467,154,-782
"559",2007,"Sweden",1355,0,0,871,29,289,160,88,132,10,-228,-192,14,479,615,-432
"560",2008,"Sweden",-1065,0,0,-177,11,320,159,98,-155,-1,-945,794,60,-754,194,-1183
"561",1999,"Switzerland",3554,6,0,1263,135.865094686527,384,12,69,336,19,29,2091,36,351,9,-202
"562",2000,"Switzerland",-3739,3,0,1597,39,424,12,52,373,37,29,-1076,141,-4412,-134,142
"563",2001,"Switzerland",-3472,10,0,868,-106.718545478549,358,11,70,202,5,37,-4339,-495,-44,312,215
"564",2002,"Switzerland",4306,6,0,1117,13,486,8,53,82,36,30,2025,-216,312,181,882
"565",2003,"Switzerland",5243,12,0,1461,22,560,12,76,149,61,33,3226,22,219,453,-149
"566",2004,"Switzerland",8854,813.098098911188,0,2164,81,836,34,84,112,109,272.529970799711,5462,200,307,742,-556.796381159372
"567",2005,"Switzerland",11089,1530.48808108776,0,2805,120,1142,16,364,158,123,48,6520,285,749,570,295.366325260787
"568",2006,"Switzerland",14033,1490.12356834926,0,3842,65,1729,-3,432,289,242,63,7325,352,1097,290,-722.677442391726
"569",2007,"Switzerland",15515,2806.97002149769,0,6680,91,3498,9,846,505,455,70,7482,226,488,418,-618.762291935507
"570",2008,"Switzerland",18415,2712.08711485277,0,7734,128,3484,9,692,435,880,1297.5466105398,6028,445,2232,387,-1369.45846106737
"571",1999,"Taiwan",1273,0.446016694884747,0,494,10,236,3.63466678920939,23,226,-1,7.24256970525107,300,8,437,28,6
"572",2000,"Taiwan",1706,0.367869912995957,0,662,26,233,38.7934054211776,57,263,3,-265.527110576324,329,15,630,29,41
"573",2001,"Taiwan",1222,0.437941231997684,0,415,29,153,7.86609221866953,51,126,9,466.108991738735,183,17,542,19,46
"574",2002,"Taiwan",1267,0.121309121488594,0,392,37,211,1.86177827527484,30,32,1,-159.197127913145,201,2,584,27,63
"575",2003,"Taiwan",1721,0.0022918963804841,0,671,22,273,12.6298142895796,40,236,7,-59.3381516767547,292,23,620,28,87
"576",2004,"Taiwan",2362,0.221144955721684,0,880,42,276,26,20,328,14,-283.167096176398,592,37,695,45,113
"577",2005,"Taiwan",2371,0.404390169074759,0,1067,17,280,30,38,370,16,116.786660743852,498,48,564,156,38
"578",2006,"Taiwan",2586,0.24180062871892,0,1230,15,178,16,38,411,18,295.218931180376,481,58,632,154,32
"579",2007,"Taiwan",3225,0.49999457236845,0,1564,17,218,23,47,559,21,235.250978913466,500,108,965,104,-16
"580",2008,"Taiwan",3236,0.0636039269156754,0,1989,18,185,18,58,461,47,6,405,177,537,106,22
"581",1999,"Thailand",874,359,0.48579750850331,262,14,78,10,21,341,3,-34,73,-2,157,64,-39
"582",2000,"Thailand",1335,663,0.431759923114441,410,14,95,12,34,340,3,-66,24,-2,217,103,-81
"583",2001,"Thailand",1318,554,2,464,51,101,29,53,161,4,-38,59,-2,168,113,-39
"584",2002,"Thailand",1306,645,15,276,38,113,40,26,111,4,-57,0.301051624235697,-2,237,129,6
"585",2003,"Thailand",1875,967,12,438,11,124,26,42,162,8,0.111332448548637,51,-2,280,133,-3
"586",2004,"Thailand",2962,1238,134.734002053372,1073,31,159,22,58,195,-2.32649720324689,118,148,4,264,53,1071.94367930275
"587",2005,"Thailand",3056,697.9071547251,14,1031,53,155,23,76,226,33.5482425886203,134,115,4,790.520630862675,39,59
"588",2006,"Thailand",4040,756.702846149677,71.6262891733582,1385,86,261,26,74,415,-5.36846611942144,60,268,4,273.602937751729,66,97
"589",2007,"Thailand",4477,1087.68433798535,51.0702548284734,1543,85,297,20,82,462,32.1759390095947,45,256,4,620.724069185108,68,123
"590",2008,"Thailand",5710,1098.22875279224,441.857656945834,1986,82,276,23,85,1158,-10.1826239995433,132,358,4,862.964905417472,89,89
"591",1999,"Turkey",278,0.490241102292202,90.7576683380095,196,-5,85,41,0.335056289215572,-2,-0.062919654130576,29,90,-1,-23.1503180028023,-2,-13
"592",2000,"Turkey",269,0.00156204518862069,251.235613016669,156,12,107,6,0.266630561440252,-2,2,26,105,-1,6,-3,763.725244081329
"593",2001,"Turkey",92,0.461871807696298,152.093943456303,88,5,18,34.4576953162992,0.456259327824228,-2,2,59,33,0.284665886778384,8,-5,-35.3717676047664
"594",2002,"Turkey",250,0.136103961383924,-145.908027159715,160,25,32,32.5678088958994,0.0644205507123843,0.282454044208862,2,29,90,0.310953673673794,8,-2,-24.5027944878086
"595",2003,"Turkey",414,0.448092222213745,91.1089593376256,302,46,51,41.892536621454,0.0446881812531501,0.423362769419327,0.127733804518357,105,123,0.392273599747568,4,-3,44.7956575599596
"596",2004,"Turkey",432,-1,114.612163727846,253,30.0604022951246,22,5.71171267869146,-28.1757224291387,18.8879305642393,0.472820652299561,38,125,12,48.9062790262651,14,12
"597",2005,"Turkey",436,-1,65.490421938692,261,42.3148311326014,45,27.6846173425637,-39.4009461582272,112.989958595145,0.11915121646598,7,130,13,341.318405537153,4,16
"598",2006,"Turkey",1396,-1,139.138350805626,640,85,112,46.457773244142,-24.4631069728591,137.310618402055,0.229045180371031,89,697,15,552.370205867549,4,17
"599",2007,"Turkey",1343.95347566871,-1,-172.324885388873,940,87,291,48.469333115687,-38.5705122278383,47.5271480735556,-32.4760552850091,87,897,14,-28,19,-324.721638942417
"600",2008,"Turkey",1996,-1,471.0957193197,1098,105,302,7.34849569231548,42.7803962396573,12.8988808827909,48.1383762197755,65,893,16,-37,1,1167.1039540074
"601",1999,"United Arab Emirates",265,179,0,19,0,17,0,0,0,0,0.332819519680925,59,-1,111.459652973254,-1,341.202177355496
"602",2000,"United Arab Emirates",410,212,0,30,0,23,0,0,0,0,0.271815162501298,153,96.0408346095888,14,-3,-217.725924835017
"603",2001,"United Arab Emirates",759,353,0,32,0,22,0,-20.7523261441648,0,0,0.130482419859618,389,80.3604409236287,9,-2,3.69007642837314
"604",2002,"United Arab Emirates",429,291,0,42,0,21,0,-29.5988562558907,0,0,0.261621350073256,69,188.69409835396,9,1,656.26062905503
"605",2003,"United Arab Emirates",400,261,0,72,0,51,0,3.35526411179023,0,0,0.234605985344388,63,-286.022612340653,11,-3,85.553478029408
"606",2004,"United Arab Emirates",702,426,0,131,-118.046966018366,78,37.1584723828935,26,-224.378384856342,-128.68012538355,0,86,-441.956382376033,-562.550523419849,5,5
"607",2005,"United Arab Emirates",60,-349,0,199,351.9973600045,142,-14.8416299291692,29,323.3726449811,121.581525423411,0,107,691.693113509528,2718.51840285182,6,48
"608",2006,"United Arab Emirates",1412,978,0,219,-100.370018013085,135,-5.42533499258342,49,139.570262760521,163.076009389585,0,160,1498.64080727007,-1020.48064316414,13,-65.318927252158
"609",2007,"United Arab Emirates",3052,603.839563769166,0,220,67.7306645434092,138,48.2119863422991,45,-39.9157584305665,-3.89392943864677,0,246,130.124091796122,225.167547656546,20,-58
"610",2008,"United Arab Emirates",4526,318.569510445016,0,279,22.3024837648675,132,-8.76770616305894,85,11,70.0414173722855,0,376,380.612581262728,49,196.214896959984,-209
"611",1999,"United Kingdom",16269,2716,1784,5403,1021,1954,145,449,640,31,411,3208,76,2509,623,-50
"612",2000,"United Kingdom",21253,5640,1804,8569,1108,1943,133,93,1179,31,1948,2505,-328,3288,1030,-1254
"613",2001,"United Kingdom",8252,5307,1205,2792,960,1374,-78,107,213,39,-833,1668,-2660,425,788,-1274
"614",2002,"United Kingdom",12668,4130,401,3890,1326,1782,-43,245,280,-145,-871,1984,326,1813,908,-783
"615",2003,"United Kingdom",18832,5342,874,4968,1437,2383,98,90,94,15,-278,2010,453,4631,1120,-566
"616",2004,"United Kingdom",16295,6782,736,3613,1191,1651,196,-496,42,110,-1667,2663,597,2817,1861,-2775
"617",2005,"United Kingdom",36778,8664,743,6897,1225,1586,102,18,441,182,-1495,9758,2947,5964,1964,-159
"618",2006,"United Kingdom",34411,9100,1004,7404,1121,1556,233,725,323,159,-1648,9765,1418,5047,2393,-1720
"619",2007,"United Kingdom",33299,7753,786,13439,1614,1748,296,798,846,219,1963,5109,781,5683,2654,-2906
"620",2008,"United Kingdom",29528,10503,1095,13100,1725,2567,340,921,959,49,213,6444,1741,-1346,2608,-4615
"621",1999,"United Kingdom Islands, Caribbean",1857,105,-7,143,9.30554768525525,-10,-30.3163325908388,0.184116157703102,0.0813270208891481,0,0,-138,26,932,166,631
"622",2000,"United Kingdom Islands, Caribbean",62,91,-9,76,8,0,-19.78767777171,1,114.176164524318,0,0,-123,30,1098,143,-1245
"623",2001,"United Kingdom Islands, Caribbean",673,203,-8,22,4,0,-15.629550567263,0.0801326051587239,-6.41824748652996,0,0,226,321.735251205511,1361,13,-2612.95957991849
"624",2002,"United Kingdom Islands, Caribbean",1012,181,-146.794914800894,717,17.803182911522,0,-34,0.0575435975333676,-39.7690505348749,0,0,105,12,641,28,-893.213576361533
"625",2003,"United Kingdom Islands, Caribbean",1841,79,-266,-91.5166250396053,133.292724028596,0,-39,1,-186.809349068201,0,0,421,17,1134,186.123272378959,-336
"626",2004,"United Kingdom Islands, Caribbean",3095,18,574.650513379604,124,-0.328772538085991,-40.117061549856,-47.3124169850457,0.112630853662267,-12,0,0,1096,738.228756383219,1523,8,-45.2414531275863
"627",2005,"United Kingdom Islands, Caribbean",4854,46,31,235,12.2382232649079,243.505112662615,-16.457667662617,1,21.3938788956073,-22.4583430147996,0,1198,425.725013189207,2401,21.0463178135381,1049
"628",2006,"United Kingdom Islands, Caribbean",5925,188,31,105,58.3133833499098,476.763594389496,-12.5551887019702,0.0424210802884772,-81.851386529728,0,0,1394,169.005777549756,3404,10.853178538512,642
"629",2007,"United Kingdom Islands, Caribbean",7511,71,2,94,155.062691362955,1102.96433969653,3.24132544288094,0.128626505844295,-1,0,0,2019,1676.77819725207,5023,-58.0674845985919,79
"630",2008,"United Kingdom Islands, Caribbean",7185,286.411995387484,2,105,63.3033203315782,497.909606173576,-9.67600272762018,0,-1,19.1326469862462,0,2733,94.4778779188285,2620,392.832029413206,833
"631",1999,"Venezuela",511,73,-120.617713783918,127,51,164,-34,-43,0.0993770095519722,11.0922677645709,-41,-2,-30.9217203520407,21,65,14
"632",2000,"Venezuela",817,108,-99.8399761918768,164,33,137,-35,-12,0.192034527426586,6,2,49,100.559116171873,16,62,25
"633",2001,"Venezuela",1347,333,176,566,58,239,1,32,0.0520525396568701,8,63,61,671.91795969562,20,-226,-51.0629136333601
"634",2002,"Venezuela",793,176,106.383102199927,253,98,88,4,5,0.273414191207848,2,-43,-12,406.660843731367,66,105,14
"635",2003,"Venezuela",1356,376,-113.290420390962,492,130,143,10,26,0.496482659014873,3,-5,16,58.2986923750206,75,139,12
"636",2004,"Venezuela",2781,1304,141,850,90,265,11,21,0.0594081376912072,9,141,128,330.721919535078,-121.527797592887,87,27
"637",2005,"Venezuela",3387,1241,202.199661073224,1437,148,285,4,69,0.0580764528131112,11,227,105,8,-90.1585885186298,190,49
"638",2006,"Venezuela",3029,828,108.163834376977,1457,91,351,1.20902377019977,9,0.461677142302506,-45.6806455602185,241,126,15,216,126,-397.937406749052
"639",2007,"Venezuela",3017,240,0,2386,184,549,2,-5,0.410963034024462,-53.1315537992805,661,98,40,269,9,-25
"640",2008,"Venezuela",2968,307,0,1993,295,768,2,27.9768147564766,-31.7152256862279,27,418,153,144.422680066615,225,2,-869.658006512444
