"","Year","Country","All Industries","Petroleum","Total Manufacturing","Food and Kindred Products Manufacturing","Chemicals and Allied Products Manufacturing","Primary and Fabricated Metals Manufacturing","Industrial Machinery and Equipment Manufacturing","Electronic and Other Electric Equipment Manufacturing","Transportation Manufacturing","Other Manufacturing","Wholesale Trade","Finance (except depository institutions), Insurance, and Real Estate","Services","Other Industries"
"251",1997,"United Kingdom",17557,4664,6904,1334,1832,360,1861,259,384,874,1902,2735,967,385
"252",1998,"United Kingdom",15796,2186,6620,1236,1310,376,1214,326,690,1467,2047,1883,1486,1574
"253",1994,"United Kingdom Islands, Caribbean",-301,114.167625178692,30.5180823661219,0,0.0908633278449997,0,8.43567393422365,0,0,21.9915451040532,20,-262,14,0
"254",1996,"United Kingdom Islands, Caribbean",288,13,6,0,0.246549703297205,0,60.1501915236302,74.9630718912312,0,2,39,169,62,0
"255",1997,"United Kingdom Islands, Caribbean",1628,15,959,0,114.24098297215,-50.9885472026019,0,0.348944859002222,0,5,55,535,65,0.408622154965997
"256",1998,"United Kingdom Islands, Caribbean",2028,16,115,0,100.024902260892,-13.5747072975696,0,40.8978643591991,0,6,115,1661,120,1
"257",1994,"Venezuela",520,59,362,85,45,18,6,5,116,87,25,3,15,56
"258",1996,"Venezuela",779,238,469,48,100,18,7,8,160,127,8,-5,15,55
"259",1997,"Venezuela",1043,172,645,142,131,16,5,13,238,100,37,9,50,129
"260",1998,"Venezuela",368,-291,340,101,120,-2,10,12,33,66,-45,16,68,279
