"","Year","Country","All Industries","Petroleum","Total Manufacturing","Food and Kindred Products Manufacturing","Chemicals and Allied Products Manufacturing","Primary and Fabricated Metals Manufacturing","Industrial Machinery and Equipment Manufacturing","Electronic and Other Electric Equipment Manufacturing","Transportation Manufacturing","Other Manufacturing","Wholesale Trade","Finance (except depository institutions), Insurance, and Real Estate","Services","Other Industries"
"157",1994,"Middle East R",352,335,4,59.4012687822597,132.778267711704,0,18.2210591874246,0,0,0.0443054850911722,27.5184317557441,7,9,259.275109080319
"158",1996,"Middle East R",1149,1169,-23,45.8452734170345,-27,0,3,0,0,22.5151433770678,1,48.8585196722156,-14,-8.20301723834266
"159",1997,"Middle East R",1232,1222,-1,1,71.3474466828653,0,3,0,0,145.689828737382,3,260.164147327807,-7,-6.66401690922629
"160",1998,"Middle East R",737,709,-1,49.7132505037205,74.4829894694928,0,106.072622252501,0,0,28.4164569581223,3,130.318102570841,-6,62.1934866179583
"161",1994,"Netherlands",3736,140,2261,481,643,55,76,90,36,881,668,-186,819,34
"162",1996,"Netherlands",5811,475,3359,536,1052,58,194,198,20,1301,1225,-632,1287,98
"163",1997,"Netherlands",7450,705,3623,470,843,52,208,438,207,1407,1520,85,1479,37
"164",1998,"Netherlands",6832,471,3334,579,959,-237,56,109,222,1646,2203,112,780,-67
"165",1994,"Netherlands Antilles",383,51.6202183140465,-4.57247093148783,-4.57247093148783,0,0,0,0,0,0,56.2017548900497,386,27.6396261491764,0
"166",1996,"Netherlands Antilles",56,0.198880466399714,1,1,0,0,0,0,0,0,7,61,-12,0
"167",1997,"Netherlands Antilles",103,0.0365655970526859,1,1,0,0,0,0,0,0.14082485914696,7,108,-13,0
"168",1998,"Netherlands Antilles",-154,6,1,1,0,0,0,0,0,0.109628678997979,8,-154,-14,0
"169",1994,"New Zealand",274,144.914895715705,97,86.3340381333819,15,45.2424450597551,3,-58.887052215269,191.315048226372,34,79,1.8011085400545,21,34.083415506866
"170",1996,"New Zealand",585,101.862964191658,408,27.0107295690577,19,2,3,10,151.083704064525,351,140,-7,41,85.5002719014124
"171",1997,"New Zealand",807,82,801,131.788630756372,33,4,3,24,-18,268.641811619281,55,-163,1,31
"172",1998,"New Zealand",210,317.864059882917,11,90.210162992278,18,2,2,1,-16,275.882038483972,98,27,37,42.3543114652528
"173",1994,"Nigeria",1109,1056,43,25.7624172194288,85.7867829375986,0,0,0,0,0,43.4485430630845,0.326632678392343,0,77.9925095907625
"174",1996,"Nigeria",2166,2145,17,89.2863057774439,108.158229447072,0,0,0,0,0,61.450077823243,-1,0,22.2373173527777
"175",1997,"Nigeria",2088,2065,7,91.9746593676022,82.3476377001861,0,0,0,0,0,1,12,0,2
"176",1998,"Nigeria",1113,1064,24,59.0856712438883,72.7540413416524,0,0,0,0,0,22.6214582943933,20.6161661009382,0,-1.43532761483446
"177",1994,"Norway",1350,1149,91,30,7,17,14,9,0,14,38,15,42,16
"178",1996,"Norway",2908,2656,126,35,10,20,39,5,82.9881091870363,37.0367036972404,22,21,54,29
"179",1997,"Norway",2470,2449,97,34,1,2,40,2,69.0073435719906,86.3703587850745,47,-209,49,38
"180",1998,"Norway",1318,1153,74,48.7909629496138,4,8,45,1,39.798296423334,7,20,26,54,-8
"181",1994,"Other Western Hemisphere R",488.575254569347,127.126583952571,133.240911172276,83.8611670847406,0,0,0,0,0,49.3797440875357,-3.30186678147729,228.017824573707,4.49180165226975,-1
"182",1996,"Other Western Hemisphere R",20,163.626369232428,272.375235744573,86.3985092723813,112.286274032185,0,0,0,0,73.6904524400069,0.497776421369053,195.105195980938,0.453753605717793,-2.39113177556922
"183",1997,"Other Western Hemisphere R",58,103.889285893908,131.249201059463,86.0909862381425,44.8081493272483,0,0,0,0,0.350065494072624,0.0540188800077885,179.58182362706,-1,0.336412664386444
"184",1998,"Other Western Hemisphere R",66,39,111.104147716812,77.0252232145167,34.0248454621087,0,0,0,0,0.0540790401864797,0.347409114940092,-99.1505847475424,6,-1
"185",1994,"Panama",164,26,25,7,7,17.5102967080355,0,0,0,9.29781378327482,100,15,2,-5
"186",1996,"Panama",92,0.143063989235088,25,4,7,3,0,0,0,11,65.6847952526135,23,4,31.2746404021462
"187",1997,"Panama",-108,19,30,4,7,7,0,0,0,12,90,-232,10,-26
"188",1998,"Panama",282,64,20,4,6,0.260911228251643,0,0,0,9,37,155,-3,9
"189",1994,"Peru",202,24,31,8,14,-14.6489605724179,0,90.880123047483,0,95.3191749019571,16,84.4411913052224,64.6593619569954,145.142380394383
"190",1996,"Peru",408,49,47,14,17,1,0,0,0,15,34,0.284527382929809,7,271
"191",1997,"Peru",589,62,62,23,21,8,0,0,0,9,33,86.9367120281199,3,88.662712802668
"192",1998,"Peru",37,-132,51,16,25,0.238067936967127,0,0,0,10,8.52324682705179,144.405730406888,0.0113774174601872,85.0093835041902
"193",1994,"Philippines",575,38.5515825446283,355,98,151,43.0513742094981,61.3385287253076,50,0,26.6642661263373,64,266.271961748379,5,42
"194",1996,"Philippines",778,312.835101034011,531,164,233,49.2723450897873,2,65,0,156.642625896186,113,89.4363961348175,0.288980014971457,37
"195",1997,"Philippines",702,197.955657110955,480,184,175,81.967185024439,2,77,0,186.178334731831,92,214.963185069206,2,45
"196",1998,"Philippines",689,276.51047317709,416,104,173,27.537248271232,14,125,0,109.888143769889,56,180.660062880681,11,85
"197",1994,"Portugal",283,81.3512610160856,127,64,21,29.2425732893958,0.198963838396594,29,23.3441891678427,2,49,-73.9925495299493,65,0.124638667097315
"198",1996,"Portugal",658,109.573441703657,259,57,46,-3,-48.1223728110994,107,42,-16.7928511923103,194,22,63,72.8369056322789
"199",1997,"Portugal",647,258.938243955194,276,68,68,-3,240.842521640129,102,65.6150832507115,14,135,4,42,124.368857874358
"200",1998,"Portugal",678,205.537914320149,235,60,68,-3,70.5982589480789,101,141.487508247717,-3,158,15,48,91.0584418729043
