"","Year","Country","All Industries","Mining","Total Manufacturing","Food Manufacturing","Chemicals Manufacturing","Primary and Fabricated Metals Manufacturing","Machinery Manufacturing","Computers and Electronic Products Manufacturing","Electrical Equipment, Appliances, and Components Manufacturing","Transportation Equipment Manufacturing","Wholesale Trade","Retail Trade","Information","Finance and Insurance","Professional, Scientific, and Technical Services","Other Industries"
"198",2016,"Egypt",756,157,249,101,-16,-9,5.03309084919583,97.2740299521282,0,0.277159871067852,201,0.0809833215316758,5,173,-29,2
"199",2017,"Egypt",1452,1109.34001527188,191,124,-12,12,32.9896704498894,405.206224918184,0,0.180078689474612,73,0.0562773939454928,5,158,-48,-364.483557148353
"200",2018,"Egypt",2387,2844.94917283118,341,161,-25,16,-5.24304392037502,245.502265307033,0,0.497007094556466,76,0.339668651809916,5,213,-69.5100410417375,-1625.24270897666
"201",2009,"Europe R",6767,6436,139,44,360.388543663252,-378,-31,29,63.6458098604468,-830.962167591112,2169.95574770729,331.102755141437,356.66696092544,554.392696637793,75,-299
"202",2010,"Europe R",12147,8733.21554222213,885,98,-127.536578328076,100,7,29,21,72,503.382691010882,188.324536695396,63,674.544296556001,172,456
"203",2011,"Europe R",18291,4469.05282466744,716,141,228.04439441164,-84,-11.2885329337025,27,22,-306.427689524439,606.846270174435,165.996265736379,-26,669,209,668.667405998553
"204",2012,"Europe R",17328,2963.59748332639,944,72,1641.52852287174,216,-3.58759713868512,6,29,141,-494.571413680601,85.5630203767962,6,1078.80147550654,178,-1722.59325694552
"205",2013,"Europe R",19672,523.30164408414,1518,35,1042.31848900893,563,0.250476803863421,45.4026377607121,30,1156.51160737106,288.733354444078,16.3544637688429,104,938,211,-2224.5471691321
"206",2014,"Europe R",16608,1379.76545027568,1122,25,85,325,16,-71.4754352090733,17,123,144.842720380499,-91.8337941878679,-57.2520542451725,747.315970046142,321,-358
"207",2015,"Europe R",1018.48187043741,994.536548588866,712.091513801677,107,229,188,-14.9721568428302,-17.6759991626561,70,150.739669807163,80,12.3914256863283,-299.36363663265,408,141,-1030.17398100681
"208",2016,"Europe R",-1350,1346.73085952336,823,70,175,345,20,7,75,-111,259,-89.2945411904644,156.336586358493,377,236,476.303580407079
"209",2017,"Europe R",-6928,1185.85231991735,939,144,77,110.265887494901,-30,11,45,-55,217,-143.429817345142,27,390,254,3569.63964709198
"210",2018,"Europe R",11158,2919.74744570193,1112,173,106,-25.2422590632282,-37,10,103,-22,331,28.7144002311299,64,520,335,1274.77715582923
"211",2009,"Finland",419,0,281,3,78,-3,-45.3004576383415,109,4,0,113,0.0242974866414443,-6,37,136,-143
"212",2010,"Finland",392,0,247,-24.9122651155569,93,0.0351135892560706,33,33,0.249648452037945,213.44548941638,112,0.182158395415172,-8,19,111,-90
"213",2011,"Finland",594,0,472,-34.8389657870873,138,-2,111,140,1,5,54,0.41316332493443,-5,49,92,-68
"214",2012,"Finland",518,0,336,53.5084814651165,95,2,154,5,3,16.7993497220584,61,0.351445457199588,-25,43,68,34
"215",2013,"Finland",582,0,193,55.3511690524102,30,-225.678311831039,100,-41,-2,-95.2207665993928,208,-1,-15,44,85,68
"216",2014,"Finland",-210,0,-490,-5,43,-90.0001128724534,43,171.122922979594,-6,4,249,0.0709609456826001,1,22,60,-53
"217",2015,"Finland",-1758,0,-1264,3,60,-2,26.6681623110956,39.4916519177594,-3,0,162,-3,32.4492557954555,128,80,4205.16647329307
"218",2016,"Finland",-1016,0,-156,-56.1285876210036,58,0.0639586402103305,82,-33.3496256221599,-3,0,61,42.866673125605,230.191019224758,124,35,89
"219",2017,"Finland",810,0,358,2,60,-72.6915928170071,77,195,-3,0.0601410048548132,60,52.5003268223405,149,49,-5,7532.86208165311
"220",2018,"Finland",1049,0,425,2,67,2,92,181,-3,0.410710586351342,85,173.02319620384,186,54,216,-1828.79234798238
"221",2009,"France",5970,128,3616,584,1314,157,1294,346,77,-522,997,327,522,1355,448,-1422
"222",2010,"France",5197,218,4794,452,1426,311,1170,349,149,-165,991,78,-126,38,335,-1131
"223",2011,"France",7736,265,5966,415,1833,299,1480,254,361,233,1908,43,-117,1119,377,-1825
"224",2012,"France",6950,41,4894,339,1427,162,890,229,192,183,1681,85,-24,901,227,-854
"225",2013,"France",5860,30,3196,327,1083,102,986,-327,129,26,2068,46,-79,892,365,-658
"226",2014,"France",7456,60,4504,448,1045,166,1204,-287,139,431,2266,-136,41,1054,441,-774
"227",2015,"France",4847,18,3578,337,1067,154,854,-225,81,27,1683,-88,-246,663,513,-1273
"228",2016,"France",6072,6,4048,194,1727,79,719,-101,22,201,1327,31,60,138,423,38
"229",2017,"France",6451,31,3310,535,1552,20,-979,441,92,269,1643,176,4,1232,442,-388
"230",2018,"France",5390,10,3572,413,1767,-18,-1195,495,-70,239,1193,377,115,667,489,-1032
"231",2009,"Germany",9473,250,6220,691,3168,446,958,1219,326,-1666,2070,291,-54,695,1048,-1047
"232",2010,"Germany",11307,393,6630,633,1640,455,967,1657,296,-890,2531,551,-134,1085,375,-125
"233",2011,"Germany",13021,582,7141,727,1582,537,800,955,478,-643,2799,457,-36,1691,494,-108
"234",2012,"Germany",11578,606,4775,834,2255,332,847,1086,534,-2411,4297,839,255,1760,452,-1406
"235",2013,"Germany",13703,650,8262,855,2937,394,1408,1693,336,-560,4122,272,-111,357,578,-427
"236",2014,"Germany",16036,550,9479,692,1943,579,1721,2216,305,15,3693,511,829,1027,578,-629
"237",2015,"Germany",12746,209,12326,607,2180,417,1284,1928,410,4167,658,698,332,1061,891,-3430
"238",2016,"Germany",9295,60,7486,512,1915,374,641,1218,596,624,939,640,827,1110,754,-2521
"239",2017,"Germany",11524,276,7140,592,2021,390,419,1025,552,-40,621,641,922,1677,1353,-1106
"240",2018,"Germany",10628,300,6604,618,264,464,985,1354,571,896,2003,925,1333,1258,1082,-2878
"241",2009,"Greece",595,-1,377,-65.8707197371314,208,-79.2982149164925,2,191.804218742737,0,-1,191,154.060800169631,9,-12,50,-507.330798960101
"242",2010,"Greece",-75,-1,65,26,75,-27.008120553801,2,258.552682028934,0,-1,-162,-92.3566497019459,9,-74,97,1425.03544646867
"243",2011,"Greece",-5,-1,152,31,164,6,2,247.489426230226,0,-1,-218,-66.6225155775961,10,10,54,2869.08984726731
"244",2012,"Greece",73,-1,107,7,109,6,-82.3534828601416,31,0,-1,47,-30.6426523982941,10,-94,11,-1831.62797790829
"245",2013,"Greece",224,-1,264,16,244,-156.703680285898,2,40,0,-1,152,-6,10,-176,-10,-9
"246",2014,"Greece",181,0,35,24,76,-3,0.365868997760117,205.587154691079,0.468145506922156,0,123,6,19,29,-19,-12
"247",2015,"Greece",160.919505921246,0,82,-30.7461484300751,52,-17.8860441397899,1,212.094166520421,0.343148410669528,0,41,5,18,7,-19,26.9195059212459
"248",2016,"Greece",116,0,57,93.4670533180026,59,4,1,14.8026873148978,0.106880786828697,0,77,1,19,-8,-23,-7
"249",2017,"Greece",488,0,422,31,71,14,2,219.563284824192,0.252757274196483,0,-72.5530430166224,18.215104776484,31,11,-6,-15
"250",2018,"Greece",140,0,139,22,69,3,2,8,0.0728697838494554,0,-21,3,14,29,-3,-21
"251",2009,"Honduras",243,0,94,77.8911922757142,8,0,0,1,0,0.145411410136148,-3,8.02976808411097,2,351.668755763479,0,0.000165213248692453
"252",2010,"Honduras",149,0,119,85.1875747194415,9,0,0,1,0,1,-3,9,2,420.030890388547,0,-1167.79388488088
"253",2011,"Honduras",132,0,108,39,10,0,0,1,0,1,11,17,2,167.687854159745,0,-2147.56892200217
"254",2012,"Honduras",148,0,81,40,11,0,0,2,0,1,22,-199.220878477279,2,135.72198907392,0,5
"255",2013,"Honduras",156,0,84,40,11,0,0,2,0,1,25,13,2,20,0,12
"256",2014,"Honduras",74,0,81,84.2828240161978,-1,0,0,-51.4966331719354,-9.61764751630174,5,18,11,-1,380.846837351609,0.0583783885231242,700.842686767026
"257",2015,"Honduras",141,0,103,50.8321739191161,0.281770988949575,0,0,54.6226375112533,45.3599510979635,4,10,13,-1,47.3569499033736,0.00434754579328001,1254.06720450905
"258",2016,"Honduras",124,0,86,30.1692224819027,0.446755504934117,0,0,-6,13.7849611155281,4,12,20,-1,11.4987051834177,0.0618484711740166,-324.973308231994
"259",2017,"Honduras",110,0,49,72.1133866019506,0.453609032207169,0,0,-7,93.7317052132712,-4,14,31,-1,19,0.290747392107733,-1
"260",2018,"Honduras",185,0,94,18.7893694584479,-1,0,0,-7,26.6390575671354,-2,30,32,-1,21,0.0917027770774439,8
"261",2009,"Hong Kong",7805,0,1335,21,127,18,77,529,141,82.7485728111992,1922,125,8,2894,807,713
"262",2010,"Hong Kong",6427,0,1172,-11.1347512598586,178,20,89,419,64,454.609247898013,2331,59,-76,1191,959,790
"263",2011,"Hong Kong",7603,0,1721,15,182,26,97,736,91,-724.226134417458,3106,85,27,1009,673,983
"264",2012,"Hong Kong",7094,0,1604,22,272,28,61,667,17,-54.8465161576027,2857,64,81,537,1093,858
"265",2013,"Hong Kong",7303,266.031658552917,1769,17,350,21,130,619,68,-160.723196292746,3424,-4,185,608,1073,3572.13585216544
"266",2014,"Hong Kong",9179,427.757833134025,4057,16,380,12,131,2707,61,-439.964188184522,3267,117,425,809,820,2355.7581113389
"267",2015,"Hong Kong",8590,-94.6793530096657,4020,20,492,341.238928924595,-97,2867,58,-38.7208547752842,2658,354,32,1225,1382,178.047847922725
"268",2016,"Hong Kong",5420,2,1847,22,427,34.1690822702803,29,718,59,1364.40913078677,2456,127,196,697,857,-763
"269",2017,"Hong Kong",7738,2,1821,15,507,68,71,602,59,653.675750514221,2633,155,389,1688,1096,-45
"270",2018,"Hong Kong",8641,0,2542,29,719,128,36,730,55,-79.4754907357923,3083,59,330,1737,1402,-512
"271",2009,"Hungary",2468,56.0282887534098,1952,53,81,29,176.683306257732,53,59.5829632929332,124,190,-8,0.442412351840176,132,159,3559.42044468466
"272",2010,"Hungary",181,-60.7827652180256,926,42,51,59.3638623583596,65.27295413487,-51,58.7707953919171,216,160,-56.7316578957232,-68,27,-7,-572.635237166342
"273",2011,"Hungary",1526,-224.093762808668,1878,16,47,14.1626211693905,115.062765953955,37,32.0161295574146,239,199,-11,24,36,36,3376.2820315303
"274",2012,"Hungary",-566,-472.799865524939,334,9,18,148.606743204146,72.0216224468112,12,70.4735338878674,-337,166,-8,313,115,77,-1976.84414977614
"275",2013,"Hungary",800,148.366276746421,907,10,18,93.9882205751582,77.9402212976003,122,43.281505711922,240,113,1,283,61,50,-1168.11715457073
"276",2014,"Hungary",760,5,798,-38.1758688407482,18,14.3137807948138,-7,203,2.77816310507769,217,68,-63.1799726876808,307,-211,72,2748.52835653137
"277",2015,"Hungary",5253.97905571493,15,223.788978008255,9,9,71.0825620116558,-121.482142977024,30,51.1885589736233,175,29,-137.966786034346,169,58,30,4867.15686374102
"278",2016,"Hungary",1239,-1,1000,10,14,228.389465578713,94.4168168450224,71,34,257,103,-86.0575373604712,140,68,65,781.480572499796
"279",2017,"Hungary",1648,-3,1242,21,16,61.6726087987483,15.3014740458378,194,120.444286269528,260,99,1,171,53,59,26
"280",2018,"Hungary",1227,-34,737,20,7,119.495802576988,110.138316593616,-386,5.4505078090655,313,184,1,244,66,87,-58
"281",2009,"India",4928,267,1307,74,567,1,267,151,51,1,530,2,217,1074,1660,-130
"282",2010,"India",5514,139,1414,4,537,20,339,169,47,122,621,-100,445,1477,1514,3
"283",2011,"India",6113,60,1628,75,460,18,384,217,68,140,512,-151,461,1585,2061,-44
"284",2012,"India",5787,-45,1632,172,510,16,358,62,69,85,441,-198,231,1733,2023,-30
"285",2013,"India",4045,24,-387,141,449,22,280,-72,98,-1293,411,-128,581.382331396723,1494,2243,-1355.61893893274
"286",2014,"India",7240,42,1566,3,862,36,449,-2,116,-173,586,-21,716,1908,2423,20
"287",2015,"India",6473,-45,1203,26,569,89,268,65,132,-154,559,56,460,1701,2593,-54
"288",2016,"India",6760,-28,1332,19,711,32,299,237,137,-333,458,-190.894977542611,738,1602,3067,1496.20308391207
"289",2017,"India",8943,-28,1374,50,750,27,91,339,167,-233,610,-553,998,1955,4452,134
"290",2018,"India",9063,-45,2145,144,771,49,131,334,150,328,814,-1078,1181,2109,3753,184
"291",2009,"Indonesia",8141,6962,637,40.3140597326494,65,-1,-9,4,36.4340593242864,6,39,21.0910186373015,10,408,28,-778.513280697179
"292",2010,"Indonesia",9788,8340,805,102,349.641544440628,-1,3,5,4,7,50,-4,10,301,31,256
"293",2011,"Indonesia",10747,8871,1615,109.691846019334,127,33.2473606866426,3,6,3,8,101,37.7997009210269,11,479,-18,-118.554503313262
"294",2012,"Indonesia",9932,7386,1868,-59.3755182732485,170,-1,9,0.150570744881406,-5.68074205171072,65.3543133512323,68,178.463769803942,12,378,-18,-2329.57351207869
"295",2013,"Indonesia",8621,6600,1549,-6,130,-1,14,-2,24.6265458629959,-14.4941385035902,54,20,12,197,-18,207
"296",2014,"Indonesia",7076,5162,1374,-43,113,2,20,1,57.1474734799967,695.69854212623,14,90.2939829667605,23,320,4,5403.99967212711
"297",2015,"Indonesia",3874,2179,1355,90,62,2,21,2,56.6147234561744,185.42894029525,17,-53.7355193940617,31,170,37,1390.30563300632
"298",2016,"Indonesia",4388,2509,1321,59,57,2,-99.3739876965242,10,14.4301067932277,-255.240768702937,33,5,32,323,57,107
"299",2017,"Indonesia",5787,3706,1499,78,44,-3,-131.177365846077,13.6293181994323,101.852567884692,994.382622916534,84,76,17,322,81,2
"300",2018,"Indonesia",7531,5863,1268,-189,108,-4,22.5450507634757,8,36.0370314493151,563.290679182474,21,92,12,293,39,-57
"301",2009,"Ireland",44177,-1,25793,221,15014,-7,42,5606,71,-3,2324,9,6661,3925,23,5443
"302",2010,"Ireland",51391,-5,32790,155,13678,-7,74,13577,15,-5,-153,53,7701,2865,349,7792
"303",2011,"Ireland",62852,-5,40826,94.2537490803623,22019,-7,53,5846.58345163928,5,-8,2056,12,10193,3876,372,5522
"304",2012,"Ireland",69538,-413.810297926676,45383,56,24439,-8,31,8462.87298700832,8.2898083192622,-9,2168,2,11660,3033,-361,1461.09138166551
"305",2013,"Ireland",61747,97998.3956321632,37022,37,14755,-7,383.851611151826,15291,5536.30613910129,-9,-1488,57,11887,3517,-263,-7788.37729150936
"306",2014,"Ireland",61167,46641.244640768,33651,34,13235,5,37,15420,-179.290280134506,30,-3343,22,12877,4976,1616,-5758.42695260781
"307",2015,"Ireland",73602,115182.073366849,34123,22,12637,14,41,15960,6398.71807625023,34,1920,66,12852,5256,4752,46456958054.296
"308",2016,"Ireland",76543,2596.78874815924,33393,85,12064,-63.5112015222375,39,16093,295.826550445276,30,1206,76,16567,4420,5704,9985.63538082325
"309",2017,"Ireland",81268,527.54090191434,34772,33,14077,26,42,17560,218.579412332559,42,181,57,15745,3661,12762,20647.9870362836
"310",2018,"Ireland",97867,-168.702000257873,41047,122,19961,30,47,17792,152.519603843579,40,7650,152,28686,2702,2542,35894.0758729957
"311",2009,"Israel",702,130.697167405995,2873.33801688099,-30.7379763159005,79.8038864526957,17.5945605426937,1315.6941049449,1418.05338688268,60.9300543739297,12,69,1,-40,-16,86,12
"312",2010,"Israel",1560,878.723311830837,1425.3994746174,0.274805004009977,108,-73.7723349038693,851.663946750195,519,16.233057767065,4,-111,-1,101,119,27,-14
"313",2011,"Israel",1560,732.219901814938,1431,0.368357999017462,44,5,447.2840386603,408,2,3,-118,147.016989616154,10,-71,40,-1757.88276644808
"314",2012,"Israel",3606,172.560329276155,3174,0.373094405047596,80,25.5634101112991,607,2090,5,3,40,17,16,90,47,3469.99963737702
"315",2013,"Israel",2139,1309.06495208181,1875,0.308358253794722,80,5,534,897,1,3,-5,84.701012970287,-234,52,4,1094.78233823208
"316",2014,"Israel",2447,809.661798145174,2298,22.1351250719377,63,6,514,1440,-7,0.102585075306706,-501,9,71,44,101,-2490.00022010862
"317",2015,"Israel",2675,727.878011859081,1941,63.6415119675281,251,-44.9351683584727,297,1124,-6,-1,176,6,-133,74,76,179.098161719431
"318",2016,"Israel",2372,2246.09913360582,1542,32.8710297568884,185,7,538,680,-24,-1,209,6,-128,69,101,2259.15636594188
"319",2017,"Israel",2837,315.33686592666,2003,-40.0346249125027,51,77.6148608337048,663,814,-26,-1,43,11.5086086300005,211,133,-87,1595.48671526995
"320",2018,"Israel",3229,452.708043526472,2634,157.26141750529,102,9,694,1379,-26,-1,37,241.132951507331,246,86,-188,-1029.9029837197
"321",2009,"Italy",3992,34,1789,296,898,-15,948,75,27,-317,942,52,456,611,342,-236
"322",2010,"Italy",3393,11,1703,281,756,-198,798,85,30,-80,1191,57,156,54,427,-206
"323",2011,"Italy",4575,7,2701,263,819,72,448,160,7,20,1174,-372,274,280,577,-67
"324",2012,"Italy",3475,5,2171,233,582,26,1023,30,35,-94,839,-288,572,24,418,-265
"325",2013,"Italy",3980,29,2635,201,848,-20,948,408,33,-47,964,-455,279,141,523,-137
"326",2014,"Italy",3880,36,2695,258,859,92,903,198,44,95,482,-550,338,558,514,-192
"327",2015,"Italy",4321,41,2544,165,767,137,988,-200,96,77,355,340,397,321,449,-125
"328",2016,"Italy",3787,43,2323,195,698,187,619,-142,214,84,836,2,128,30,424,0.282557718805037
"329",2017,"Italy",5224,42,3398,120,1051,160,771,421,2,382,575,238,100,112,530,229
"330",2018,"Italy",4263,46,1986,215,1379,136,-77,-81,-300,233,694,-290,259,242,650,675
"331",2009,"Japan",15574,2,3077,22,2163,28,-185,-37,8,34,2007,270,1043,6582,2501,91
"332",2010,"Japan",11916,2,5182,48,1764,19,383,234,155,154,2560,410,799,1240,1954,-232
"333",2011,"Japan",19481,2,7435,71,3493,14,452,377,199,196,2603,166,1136,5898,2108,133
"334",2012,"Japan",21977,2,7970,92,3502,17,460,681,167.736406590642,372,2479,358,1141,7001,1884,1143
"335",2013,"Japan",18982,2,6007,58,2424,22,462,454,41.7201920283264,245,2913,574,1173,6255,1647,411
"336",2014,"Japan",19923,0,6224,40,2599,25,507,1311,14,173,2952,476,1064,6706,1950,552
"337",2015,"Japan",22406,0,6746,34,3296,41,345,841,47.1501739435913,221,2837,287,633,8486,2022,1394
"338",2016,"Japan",21489,0,6162,38,2500,37,352,1168,47.0773915617578,330,1744,121,454,8995,2863,1151
"339",2017,"Japan",22730,0,7202,39,2447,34.1073367643839,377,2070,185.861049374259,348,2340,15,1512,8437,2104,1119
"340",2018,"Japan",25213,0,7819,32,2788,47,580,1882,195.61113503472,430,2920,361,2651,8276,1924,1262
"341",2009,"Korea, Republic of",2818,751.254468594201,626,-29.8850620622799,99,53,82,314,-12,-9,273,96,66,1509,179,-3652.86303663597
"342",2010,"Korea, Republic of",3947,2940.70277040054,1727,58,423,16,242,560,1,192,490,148,78,1236,200,1868.16039079
"343",2011,"Korea, Republic of",5081,654.765711298137,2182,47,445,22,432,540,1,376,627,230,99,1343,389,-1898.86671556252
"344",2012,"Korea, Republic of",5372,267.611829661791,3029,55,515,12,309,470,4,1304,502,235,20,1349,285,-1750.86454467375
"345",2013,"Korea, Republic of",4354,760.358144968617,1905,46,663,-21,420,508,4,-245,362,291,86,1296,263,-728.309470864003
"346",2014,"Korea, Republic of",5327,655.500755642284,2552,47,740,-9,435,529,55,180,740,400,105,1156,196,-2032.55325912617
"347",2015,"Korea, Republic of",5399,-67.7770466785858,2295,52,713,26,408,369,66,-247,851,306,146,1473,140,4672.42706349277
"348",2016,"Korea, Republic of",5448,1127.80134448951,2777,57,641,39,335,913,59,-157,534,271,117,1287,121,3604.07472368981
"349",2017,"Korea, Republic of",5517,726.651664856626,2516,81,774,54,369,495,61,-111,755,342,-60,1383,283,-2765.56744428061
"350",2018,"Korea, Republic of",4481,480.168157022873,1479,62,668,53,458,614,64,-1165,684,443,153,1485,257,409.485032889169
"351",2009,"Luxembourg",8206,-322.044951439555,427,0,58.0687232548388,164.524021518967,193.91556185126,13.5218073016044,0,-656.906668971541,1587.66916614323,131.378674820911,-491,6743,-12,496
"352",2010,"Luxembourg",1830,1584.35439803007,356,0,-85.3932944523023,-5,-102.454822840261,46.2969377222186,0,-740.664576118875,1275.08293701295,61,-725,1822,36,-788
"353",2011,"Luxembourg",3929,-78.4524994967379,351,0,395.102787015417,71.6933583257564,-83.6078586356739,138.758427226705,0,-217.534583165834,1661.47927297291,83,-506,3878,38,-1359
"354",2012,"Luxembourg",3759,307.859479992737,466,0,606.546162280336,2,9,217.927433191131,0,-117.985015358708,604.650791315471,153.59192576505,-162,5486,-331,-2845
"355",2013,"Luxembourg",5169,99,466,0,287.816356773511,2,23,97.0080695535939,125.921962545327,325.979921834145,259,60.3912340617294,-295,6576,8,-3263.40143270938
"356",2014,"Luxembourg",4088,12,222,-1,80,-12,31,342,75.8726372100672,195.107868682465,88.5932472137638,284,560,7203,-22,-3885.1129412141
"357",2015,"Luxembourg",9567,261.910796238246,388,0.354783566086553,174,21,-27,-24,51.8008891925233,-48,495,150,680,5847,148,-85.6277414490553
"358",2016,"Luxembourg",305,-175.64135279353,2761,0.197025279281661,2029,61,20,232,63.2598415504117,105,250,119,591,2854,249,-2616.15448922558
"359",2017,"Luxembourg",8851,97,2821,0.38623070565518,1067,-29,-75.2230750542041,640.590361499841,185.67587196931,-176.060983919375,-75.7426944459544,92,540,6223,-24,-1470.82018557478
"360",2018,"Luxembourg",5805,464.172783773754,1460,0.150133605464362,342,89,78.3448103455958,499,117.298602513454,86,681.741622757722,164,1034,3942,52,-2061
"361",2009,"Malaysia",5621,2466,2185,43,191,10,24,1699,85.0804975386316,27,208,48,25,551,149,-11
"362",2010,"Malaysia",7028,2826,3439,70,343,11,-31,2598,12.0708673454859,74,254,-183.093717578239,26,184,68,1889.88554502179
"363",2011,"Malaysia",6830,2994,2724,108,7,12,181,2048,87.4849556848876,91,459,-76.5911832710473,25,321,121,-357.259557813626
"364",2012,"Malaysia",7615,3598,3065,24,278,19,205,2168,80.361586667617,91,165,50.6713622480891,26,352,146,1052.40417879261
"365",2013,"Malaysia",6854,3237,2664,26,192,15,296,1686,-1.30646269040174,89,362,96,30,301,152,12
"366",2014,"Malaysia",5756,2292,2665,34,229,5,198,1779,59.1352107811808,93,395,98,45,363,145,-248
"367",2015,"Malaysia",2851,-625,2801,8,143,33,375,1834,29.3077990337028,86,272,71,26,298,135,-128
"368",2016,"Malaysia",3053,596,1933,59,128,26,186,1205,101.587023424636,75,179,42,27,340,237,-301
"369",2017,"Malaysia",3868,719,2319,16,232,27,225,1432,53.0502069357151,90,208,51,36,318,285,-68
"370",2018,"Malaysia",3897,862,2194,18,237,27,156,1493,5,157,259,35.3402783784583,53,357,315,-895.423531925792
"371",2009,"Mexico",11165,825,4309,661,1260,130,177,56,171,944,510,2370.19952862057,498,2235,203,-2507.0081074725
"372",2010,"Mexico",13830,1156,5705,816,1331,145,166,64,207,1770,921,2702.41597916077,462,3346,190,-322.912046476074
"373",2011,"Mexico",21237,2418,6484,1259,1515,215,227.062891682215,-258,244,1871,1049,2813.74813819141,467,3575,494,4282.50605707545
"374",2012,"Mexico",17434,2479,6115,871,1686,92,474.285193137451,662.103510059741,247,1947,888,2253,152,4512,348,686
"375",2013,"Mexico",17359,1904,6080,885,1133,363.285046952666,442.198788378083,-175,208,2146,1333,2836,-260,4494,317,655
"376",2014,"Mexico",18495,1946,7376,1015,1601,278.057097322363,524.047673909829,353,257,2183,1326,3368,-404,3825,276,783
"377",2015,"Mexico",16338,1151,7680,933,1253,214,550,792,248,2294,1036,1842,-360,3435,461,1094
"378",2016,"Mexico",16508,1640,7701,1511,1440,271,515,282,199,2125,745,2051,-308,3932,382,366
"379",2017,"Mexico",20370,2551,8087,1354,1912,356,432,319,189,2248,1311,2289,-303,3324,451.026404561747,3317.25209041165
"380",2018,"Mexico",22683,2622,9430,1604,1278,304,413,463,904,3075,1455,2363,-349,3375,529.579370238874,-1105.12658380826
"381",2009,"Middle East R",4398,3311.66125664493,436.168138815321,152.176477289901,0.254484507138841,-82.7896561326786,366.184474973549,0.34235817741137,0,0,14,0,91.7486257280805,25,-150,-46
"382",2010,"Middle East R",6966,2319.54844777466,150.866442348177,290.159266140689,3,-168.65575298461,26.3561640791184,0.00676511297933757,0,0,13,0,17.7545811521996,361,9,780.589168183501
"383",2011,"Middle East R",7481,3976.50417813796,179.694627094084,152.480714565386,0.450374638428912,-56.3192197182537,82.8046909201891,0.278066688333638,0,0,944.121554884154,0,-177.446725826578,386,-16,-98
"384",2012,"Middle East R",5884,2871.74615055653,531.519533789095,107.85758334673,0.355773950344883,104.7442900472,318.173452855802,0.38843358901795,0,0,-270.688018898009,0,15,409.787014013368,-120,-159
"385",2013,"Middle East R",4363,2916.00767744064,102.66718475851,81.4896570082948,-1,-15.4979693311352,37.5935014672442,0.0819956141058356,0,0,1086.77219922494,0,15,290.547264002464,-104.574170840318,-302
"386",2014,"Middle East R",4767,3848,947,87.4216117398177,0.0703272719401866,238.533644649702,189.177217797469,-26.0724915849136,0,0,11,0,8,292.043892335338,-131,659.237229398448
"387",2015,"Middle East R",2620,2611.41061279882,454,198.860323613794,0.0352389750769362,-93.5149817327906,6.32869238829026,46.8443772355032,0.141631634556688,0,22,0,21,374,-89,5154.55343656913
"388",2016,"Middle East R",1272,2262.96384930877,307,164.859652678174,0.033703999593854,116.532326733642,13.1258191407446,63.2729965673247,42.8843687578197,0,26,0,18,365,-75,-2095.46941931602
"389",2017,"Middle East R",2177,1351.50858734786,345,154.988051448109,0.355986661277711,31.1387402682028,2,12.8732479311067,0.17184467043262,0,47,0,20,115,11,-977.706139836795
"390",2018,"Middle East R",2314,2470.3146421002,455,100.821544385792,0,235.413385731382,2,-100.415502318613,0.213028902886435,0,-48,0.241388442576863,38,130,-52,-1482.6395793535
"391",2009,"Netherlands",6500,118,5633,484,3066,60,296,1445,-67,-28,-112,145,46,372,721,-424
"392",2010,"Netherlands",3796,69,1500,466,-426,142,-216,403,12,251,1445,236,505,514,883,-1357
"393",2011,"Netherlands",12430,343,3299,361,-33,157,307,145.322474619999,159,602,1448,269,1177,2338,1697,1859
"394",2012,"Netherlands",15823,580,6228,721,2464,69,560,619,113,405,1888,378,747,4786,281,935
"395",2013,"Netherlands",741,414,4304,298,1472,159,354,751,-13,457,2476,706,679,1938,436,-10214
"396",2014,"Netherlands",14538,32,5509,170,2025,112,551,1166,-42,128.532413648649,1570,582,1175,7180,840,-2351
"397",2015,"Netherlands",23259,-80,6660,567,2743,133,686,1225,4,431,1208,1304,-1095,6951,646,7664
"398",2016,"Netherlands",43310,95,18977,633,4536,122,976.491801273778,1431,52,-334,2113,1281,4317,8377,974,7176
"399",2017,"Netherlands",49915,35,18467,697,3878,120,478.952987973944,552,61,452,3309,1923,3287,14441,4126,4327
"400",2018,"Netherlands",29124,63,6771,266,4302,38,665,541,12,684,3366,1601,8836,14913,1156,-7580
"401",2009,"New Zealand",692,14,144,56.5514372401606,55,5,6,9,3.21114972304377,0.480967150069773,341,-25.8531805334599,10,109,31,1801.1156980571
"402",2010,"New Zealand",140,16,227,67,72,5,7,-8.73947102833671,-49.7157496368391,5,-1,12,-40,-7,38,-105
"403",2011,"New Zealand",983,19,316,77,78,5,16,26,7.22365938825795,-22.5966803294907,166,11,-57,403,67,59
"404",2012,"New Zealand",965,18,307,106.17789914527,94,5,15,212.36753715857,9.06601821122136,46.919883829328,180,12,-23,334,76,60
"405",2013,"New Zealand",949,14,218,6,89,5,32,34,55.5375600572999,2,277,-33.6791397408629,1,230,92,-1466.82476447738
"406",2014,"New Zealand",1582,156.3814816487,406,82,66,13,77,17,5,0,355,6,-1,591,103,393.035093753962
"407",2015,"New Zealand",1216,-10,397,101,62,160.57672036333,32,43,5,0,339,4,49,196,49,193
"408",2016,"New Zealand",1094,-11,380,94,63,22,45,40,5,0,193,-52,23,118,58,386
