,share_raw,row_growth,us_growth,price_index
1989,33.99727945670877,3.665091908769025,3.672237843839765,4.2759
1994,25.860988093191413,3.155536105555945,4.029022729833764,-1.64004
1995,29.2463517077118,3.3467618570929947,2.684430731779064,-5.66746
1996,27.735608498766737,3.524720601809661,3.7727726911944037,5.27488
1997,29.630547045180684,3.7836651766250062,4.447127935664663,7.10864
1998,25.61160050269772,2.204289618496702,4.483133353746127,11.04527
1999,25.782202098464747,3.1107458846425073,4.788425047252254,0.23179
2000,27.867472570875435,4.743696384022078,4.077585756827884,2.92952
2001,34.17845921464777,2.463694429830765,0.955538348341678,5.39758
2002,33.263775406957386,2.547245312053703,1.7004473264373265,0.57408
2003,33.560444974587696,3.208229823857467,2.795605963201142,-5.97998
2004,34.0416267067647,4.751733095688526,3.847771695569313,-4.61093
2005,35.991362835152685,4.2707981264815675,3.4835499355557964,-2.54334
2006,35.2440537885324,5.112039306355376,2.784539636506911,-1.93052
2007,39.816004600834,5.299679472914143,2.0038582978496366,-4.8585
2008,47.65854952517375,2.7969759788457615,0.11358724988153046,-3.12316
2009,45.429621399880354,-0.8824652695353707,-2.576500229583867,6.45993
2010,39.4920316160758,5.147657298726083,2.695192577444394,-3.82093
2011,39.853255059894806,3.929753328476604,1.5644068576355474,-4.5967
2012,38.98518295227937,2.875030929288558,2.2891133866985047,3.22089
2013,33.427005191798685,3.1373097958666163,2.1178300979002085,1.2277
2014,33.007659537974,3.3281228394908213,2.5238198136398937,3.047
2015,31.424632220059433,3.167250793966492,2.9455504548404177,13.16285
2016,29.590179187965703,3.102482570813603,1.8194514778818505,4.527
2017,35.51908209758053,3.7631606131250273,2.4576222985250196,-0.22673
2018,31.622600233204263,3.3690241348496075,2.9665050690131034,-0.71529
2019,30.955152486152357,2.7084676159138787,2.583825334128176,3.3305
2020,34.963433364369216,-3.1256959124393524,-2.163029140362016,1.7691
2021,26.114557397666534,6.52466649019976,6.0550529324457925,-3.96049
