	pi_rest	pi_cor_rest	pi_usa	share_raw	share_fx_adj
1989	82247361167.01189	87233788072783.19	159676000000.0	33.99727945670877	99.817290684499
1994	83316116982.88338	223292055041.9507	238853000000.0	25.860988093191413	48.316443637308126
1995	110070151185.92659	270232466256.3645	266285000000.00003	29.2463517077118	50.36787863440016
1996	125629374684.42378	255562633247.12317	327324000000.0	27.735608498766737	43.844311855882566
1997	142454688826.79114	259632483727.68866	338315000000.0	29.630547045180684	43.42061649111779
1998	121749130345.13406	175618006559.00748	353618000000.0	25.61160050269772	33.183306574479424
1999	141955000000.0	174128489828.69162	408638000000.0	25.782202098464747	29.879633243819136
2000	172158000000.0	206070116293.54022	445616000000.0	27.867472570875435	31.62106896884077
2001	141196000000.0	153507395533.85703	271918000000.0	34.17845921464777	36.083270332562996
2002	152870000000.0	159087998132.0253	306699000000.0	33.263775406957386	34.15466699801107
2003	207076000000.0	234976299905.09933	409948000000.0	33.560444974587696	36.434710234933945
2004	258763000000.0	309776537369.2701	501374000000.0	34.0416267067647	38.18977157728821
2005	324862000000.0	390315656027.3267	577749000000.0	35.991362835152685	40.31917223680862
2006	365201000000.0	433875084617.62384	671005000000.0	35.2440537885324	39.2689750370312
2007	419550000000.0	528526159873.5699	634172000000.0	39.816004600834	45.4568673206674
2008	449158000000.0	571198776863.3942	493292000000.0	47.65854952517375	53.65934485092264
2009	398679000000.0	503138817792.426	478896000000.0	45.429621399880354	51.23431559417225
2010	460173000000.0	587978487063.8086	705057000000.0	39.4920316160758	45.472726228030666
2011	561088000000.0	743073463010.2228	846797000000.0	39.853255059894806	46.73798779828297
2012	538008000000.0	683329563969.1853	842024000000.0	38.98518295227937	44.798109770108994
2013	511726000000.0	629387545201.4207	1019150000000.0	33.427005191798685	38.17853873170484
2014	554226000000.0	641916574263.4371	1124857000000.0	33.007659537974	36.332701802552734
2015	478188000000.0	497576324555.55304	1043510000000.0	31.424632220059433	32.28737525128927
2016	434090000000.0	433565913018.482	1032916999999.9999	29.590179187965703	29.56501635099637
2017	538833000000.0	538833000000.0	978191000000.0	35.51908209758053	35.51908209758053
2018	556233000000.0	563575834056.1035	1202740000000.0	31.622600233204263	31.90685511559552
2019	510847000000.0	502747503411.18365	1139434000000.0	30.955152486152357	30.614612475348373
2020	439354000000.0	433526068500.6603	817256000000.0	34.963433364369216	34.66040003438309
2021	614627000000.0	623536100784.8407	1738953000000.0	26.114557397666534	26.393184230043484
